identifier `,parentid,objectid,object_location,title,creator,publisher,date,date-is-approximate?,format,type,display_template,subject,description,image_small,image_thumb,image_alt_text
,,historical_photos,,Historical Photos,,,,,,record,compound_object,,,/objects/small/sookejr_sm.jpg,/objects/thumbs/sookejr_th.jpg,
sookejr,historical_photos,jrhp_001,/objects/sookejr.jpg,Aerial Photo of Estuary with Lumber Mill,,,,,image/JPG,photo,image,Forestry; Mill; Coastline,Black and White Aerial Photo of the estuary and Lumber Mill,/objects/small/sookejr_sm.jpg,/objects/thumbs/sookejr_th.jpg,
chowicancoppermine1965,historical_photos,jrhp_002,/objects/chowicancoppermine1965.jpg,Cowichan Copper Mine,,,1965,yes,image/JPG,photo,image,Mining; Copper,Black and White Photo of the copper mine,/objects/small/chowicancoppermine1965_sm.jpg,/objects/thumbs/chowicancoppermine1965_th.jpg,
loggingopitem,historical_photos,jrhp_003,/objects/loggingopitem.png,Logging Operation at Jordan River,,,,,image/PNG,photo,image,Forestry; Workers,Black and White Photo of logging workers,/objects/small/loggingopitem_sm.jpg,/objects/thumbs/loggingopitem_th.jpg,
1974minewastedumpandpond,historical_photos,jrhp_004,/objects/1974minewastedumpandpond.pdf,Mine Waste Dump and Pond,,,1974,,image/PDF,photo,image,Mining; Copper; Sunro; Dumping,Black and White Photo of the Sunro Mine and the River below,/objects/small/1974minewastedumpandpond_sm.jpg,/objects/thumbs/1974minewastedumpandpond_th.jpg,
fileid_15115,historical_photos,jrhp_005,/objects/fileid_15115.pdf,Mine Waste Dump and Pond,,,1974,yes,image/PDF,photo,image,Mining; Copper; Sunro; Dumping,Black and White Photo of the Sunro Mine and the River below,/objects/small/fileid_15115_sm.jpg,/objects/thumbs/fileid_15115_th.jpg,
fileid_15129,historical_photos,jrhp_006,/objects/fileid_15129.pdf,Sundo Mine Entrance,,,1958,yes,image/PDF,photo,image,Mining; Copper; Sunro; Dumping,Black and White Photo of the Sundo Mine Entrance,/objects/small/fileid_15129_sm.jpg,/objects/thumbs/fileid_15129_th.jpg,
fileid_15134,historical_photos,jrhp_007,/objects/fileid_15134.pdf,Mine drill bit and Workers,,,,,image/PDF,photo,image,Mining,Black and White Photo the Mining Drill Bit and Workers,/objects/small/fileid_15134_sm.jpg,/objects/thumbs/fileid_15134_th.jpg,
fileid_61241,historical_photos,jrhp_008,/objects/fileid_61241.pdf,Maveric River adds to the Mine Flow,,Times Colonist,1964-01-09,,image/PDF,photo,image,Mining; Flood; Cowichan Copper Company; Copper,Black and White Newsprint with Photos of the Mine being flooded in 1964,/objects/small/fileid_61241_sm.jpg,/objects/thumbs/fileid_61241_th.jpg,
fileid_61335,historical_photos,jrhp_009,/objects/fileid_61335.pdf,Heavy Rain to Delay Flooded Mine Repair,,Victoria Daily Times,1963-12-07,,image/PDF,photo,image,Mining; Flood; Cowichan Copper Company; Copper,Black and White Newsprint with Photos of the Mine being flooded in 1964,/objects/small/fileid_61335_sm.jpg,/objects/thumbs/fileid_61335_th.jpg,
jrestuary,historical_photos,jrhp_010,/objects/jrestuary.png,Aerial Photo of Estuary with Lumber Mill 2,,,,,image/PNG,photo,image,Estuary; Forestry; Mill,Black and White Aerial Photo of the Estuary and Logging Mill,/objects/small/jrestuary_sm.jpg,/objects/thumbs/jrestuary_th.jpg,
jrestuary2,historical_photos,jrhp_011,/objects/jrestuary2.png,Aerial Photo of Estuary with Lumber Mill 3,,,,,image/PNG,photo,image,Estuary; Forestry; Mill,Black and White Aerial Photo of the Estuary and Logging Mill,/objects/small/jrestuary2_sm.jpg,/objects/thumbs/jrestuary2_th.jpg,
1917boomingarea,historical_photos,jrhp_012,/objects/1917boomingarea.jpg,Booming Area Photo,,,1917,,image/JPG,photo,image,Estuary; Forestry; Booming,Black and White Photo of the Booming Area,/objects/small/1917boomingarea_sm.jpg,/objects/thumbs/1917boomingarea_th.jpg,
forebaypond,historical_photos,jrhp_013,/objects/forebaypond.jpg,Forebay Pond,,,,,image/JPG,photo,image,Estuary; Forestry; Forebay Pond,Black and White Photo of the Forebay Pond,/objects/small/forebaypond_sm.jpg,/objects/thumbs/forebaypond_th.jpg,
1950slogbooming,historical_photos,jrhp_014,/objects/1950slogbooming.jpg,Log Booming Photo,,,1950,yes,image/JPG,photo,image,Estuary; Forestry; Booming,Black and White Photo of a crane lifting logs,/objects/small/1950slogbooming_sm.jpg,/objects/thumbs/1950slogbooming_th.jpg,
1920railcar,historical_photos,jrhp_015,/objects/1920railcar.jpg,Rail Car,,,1920,yes,image/JPG,photo,image,Railcar,Black and White Photo of men on a Rail car,/objects/small/1920railcar_sm.jpg,/objects/thumbs/1920railcar_th.jpg,
winklerbio,historical_photos,jrhp_016,/objects/winklerbio.png,"George Winkler, the Poet Prospector",,,1908,yes,image/PNG,photo,image,George Winkler; Prospector; Mining,"Screenshot of Royal BC Museum Entry on George Winkler, with brief biography and black and white photograph of the man himself",/objects/small/winklerbio_sm.jpg,/objects/thumbs/winklerbio_th.jpg,
rcbmhydroflume,historical_photos,jrhp_017,/objects/rcbmhydroflume.png,The dam at the Jordan River,,,1919,yes,image/PNG,photo,image,Hydroelectric; Dam,Black and White photo of the dam in construction,/objects/small/rcbmhydroflume_sm.jpg,/objects/thumbs/rcbmhydroflume_th.jpg,
rmcbhsunloch1919rail1,historical_photos,jrhp_018,/objects/rmcbhsunloch1919rail1.png,Rail line near Sunloch Mine,,,1919,yes,image/PNG,photo,image,Mining; Sunloch Mines Ltd.,Black and White photo of rail line,/objects/small/rmcbhsunloch1919rail1_sm.jpg,/objects/thumbs/rmcbhsunloch1919rail1_th.jpg,
rmcbhsunloch1919rail2,historical_photos,jrhp_019,/objects/rmcbhsunloch1919rail2.png,Rail line near Sunloch Mine 2,,,1919,yes,image/PNG,photo,image,Mining; Sunloch Mines Ltd.,Black and White photo of rail line,/objects/small/rmcbhsunloch1919rail2_sm.jpg,/objects/thumbs/rmcbhsunloch1919rail2_th.jpg,
rmcbhsunloch1919rail3,historical_photos,jrhp_020,/objects/rmcbhsunloch1919rail3.png,Rail line near Sunloch Mine 3,,,1919,yes,image/PNG,photo,image,Mining; Sunloch Mines Ltd.,Black and White photo of rail line,/objects/small/rmcbhsunloch1919rail3_sm.jpg,/objects/thumbs/rmcbhsunloch1919rail3_th.jpg,
1920powerhousejr,historical_photos,jrhp_021,/objects/1920powerhousejr.jpg,Powerhouse at Jordan River 1920,,,1920,yes,image/JPG,photo,image,Hydroelectric,Black and White photo of powerhouse,/objects/small/1920powerhousejr_sm.jpg,/objects/thumbs/1920powerhousejr_th.jpg,
1930sjordanriveranddam,historical_photos,jrhp_022,/objects/1930sjordanriveranddam.jpg,Camp 2 at Jordan River and Dam 1930's,,,1930,yes,image/JPG,photo,image,Forestry; Settlement; Dam; Settlement,Black and White photo of a camp adjacent to the dam,/objects/small/1930sjordanriveranddam_sm.jpg,/objects/thumbs/1930sjordanriveranddam_th.jpg,
1920jrsunlockmines,historical_photos,jrhp_023,/objects/1920jrsunlockmines.jpg,Jordan River Miner in the 1920s,,,1920,yes,image/JPG,photo,image,Mining,Black and White photo of a miner,/objects/small/1920jrsunlockmines_sm.jpg,/objects/thumbs/1920jrsunlockmines_th.jpg,
1945_48jrcommunityhall,historical_photos,jrhp_024,/objects/1945_48jrcommunityhall.jpg,Jordan River Community Hall 1945-48,,,1940,yes,image/JPG,photo,image,Settlement,Black and White photo of the community hall,/objects/small/1945_48jrcommunityhall_sm.jpg,/objects/thumbs/1945_48jrcommunityhall_th.jpg,
1926jrpowerhouse,historical_photos,jrhp_025,/objects/1926jrpowerhouse.jpg,Jordan River Powerhouse 1926,,,1926,yes,image/JPG,photo,image,Hydroelectric,Black and White photo of powerhouse,/objects/small/1926jrpowerhouse_sm.jpg,/objects/thumbs/1926jrpowerhouse_th.jpg,
