title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Aerial Photo of Estuary with Lumber Mill","","","Black and White Aerial Photo of the estuary and Lumber Mill","Forestry; Mill; Coastline","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sookejr_th.jpg","http://localhost:4000/JRWA-Archive/objects/sookejr.jpg",/JRWA-Archive/items/jrhp_001.html
"Cowichan Copper Mine","","1965","Black and White Photo of the copper mine","Mining; Copper","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/chowicancoppermine1965_th.jpg","http://localhost:4000/JRWA-Archive/objects/chowicancoppermine1965.jpg",/JRWA-Archive/items/jrhp_002.html
"Logging Operation at Jordan River","","","Black and White Photo of logging workers","Forestry; Workers","","","","","","photo","image/PNG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/loggingopitem_th.jpg","http://localhost:4000/JRWA-Archive/objects/loggingopitem.png",/JRWA-Archive/items/jrhp_003.html
"Mine Waste Dump and Pond","","1974","Black and White Photo of the Sunro Mine and the River below","Mining; Copper; Sunro; Dumping","","","","","","photo","image/PDF","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1974minewastedumpandpond_th.jpg","http://localhost:4000/JRWA-Archive/objects/1974minewastedumpandpond.pdf",/JRWA-Archive/items/jrhp_004.html
"Mine Waste Dump and Pond","","1974","Black and White Photo of the Sunro Mine and the River below","Mining; Copper; Sunro; Dumping","","","","","","photo","image/PDF","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/fileid_15115_th.jpg","http://localhost:4000/JRWA-Archive/objects/fileid_15115.pdf",/JRWA-Archive/items/jrhp_005.html
"Sundo Mine Entrance","","1958","Black and White Photo of the Sundo Mine Entrance","Mining; Copper; Sunro; Dumping","","","","","","photo","image/PDF","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/fileid_15129_th.jpg","http://localhost:4000/JRWA-Archive/objects/fileid_15129.pdf",/JRWA-Archive/items/jrhp_006.html
"Mine drill bit and Workers","","","Black and White Photo the Mining Drill Bit and Workers","Mining","","","","","","photo","image/PDF","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/fileid_15134_th.jpg","http://localhost:4000/JRWA-Archive/objects/fileid_15134.pdf",/JRWA-Archive/items/jrhp_007.html
"Maveric River adds to the Mine Flow","","1964-01-09","Black and White Newsprint with Photos of the Mine being flooded in 1964","Mining; Flood; Cowichan Copper Company; Copper","","","","","","photo","image/PDF","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/fileid_61241_th.jpg","http://localhost:4000/JRWA-Archive/objects/fileid_61241.pdf",/JRWA-Archive/items/jrhp_008.html
"Heavy Rain to Delay Flooded Mine Repair","","1963-12-07","Black and White Newsprint with Photos of the Mine being flooded in 1964","Mining; Flood; Cowichan Copper Company; Copper","","","","","","photo","image/PDF","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/fileid_61335_th.jpg","http://localhost:4000/JRWA-Archive/objects/fileid_61335.pdf",/JRWA-Archive/items/jrhp_009.html
"Aerial Photo of Estuary with Lumber Mill 2","","","Black and White Aerial Photo of the Estuary and Logging Mill","Estuary; Forestry; Mill","","","","","","photo","image/PNG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/jrestuary_th.jpg","http://localhost:4000/JRWA-Archive/objects/jrestuary.png",/JRWA-Archive/items/jrhp_010.html
"Aerial Photo of Estuary with Lumber Mill 3","","","Black and White Aerial Photo of the Estuary and Logging Mill","Estuary; Forestry; Mill","","","","","","photo","image/PNG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/jrestuary2_th.jpg","http://localhost:4000/JRWA-Archive/objects/jrestuary2.png",/JRWA-Archive/items/jrhp_011.html
"Booming Area Photo","","1917","Black and White Photo of the Booming Area","Estuary; Forestry; Booming","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1917boomingarea_th.jpg","http://localhost:4000/JRWA-Archive/objects/1917boomingarea.jpg",/JRWA-Archive/items/jrhp_012.html
"Forebay Pond","","","Black and White Photo of the Forebay Pond","Estuary; Forestry; Forebay Pond","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/forebaypond_th.jpg","http://localhost:4000/JRWA-Archive/objects/forebaypond.jpg",/JRWA-Archive/items/jrhp_013.html
"Log Booming Photo","","1950","Black and White Photo of a crane lifting logs","Estuary; Forestry; Booming","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1950slogbooming_th.jpg","http://localhost:4000/JRWA-Archive/objects/1950slogbooming.jpg",/JRWA-Archive/items/jrhp_014.html
"Rail Car","","1920","Black and White Photo of men on a Rail car","Railcar","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1920railcar_th.jpg","http://localhost:4000/JRWA-Archive/objects/1920railcar.jpg",/JRWA-Archive/items/jrhp_015.html
"George Winkler, the Poet Prospector","","1908","Screenshot of Royal BC Museum Entry on George Winkler, with brief biography and black and white photograph of the man himself","George Winkler; Prospector; Mining","","","","","","photo","image/PNG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/winklerbio_th.jpg","http://localhost:4000/JRWA-Archive/objects/winklerbio.png",/JRWA-Archive/items/jrhp_016.html
"The dam at the Jordan River","","1919","Black and White photo of the dam in construction","Hydroelectric; Dam","","","","","","photo","image/PNG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/rcbmhydroflume_th.jpg","http://localhost:4000/JRWA-Archive/objects/rcbmhydroflume.png",/JRWA-Archive/items/jrhp_017.html
"Rail line near Sunloch Mine","","1919","Black and White photo of rail line","Mining; Sunloch Mines Ltd.","","","","","","photo","image/PNG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/rmcbhsunloch1919rail1_th.jpg","http://localhost:4000/JRWA-Archive/objects/rmcbhsunloch1919rail1.png",/JRWA-Archive/items/jrhp_018.html
"Rail line near Sunloch Mine 2","","1919","Black and White photo of rail line","Mining; Sunloch Mines Ltd.","","","","","","photo","image/PNG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/rmcbhsunloch1919rail2_th.jpg","http://localhost:4000/JRWA-Archive/objects/rmcbhsunloch1919rail2.png",/JRWA-Archive/items/jrhp_019.html
"Rail line near Sunloch Mine 3","","1919","Black and White photo of rail line","Mining; Sunloch Mines Ltd.","","","","","","photo","image/PNG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/rmcbhsunloch1919rail3_th.jpg","http://localhost:4000/JRWA-Archive/objects/rmcbhsunloch1919rail3.png",/JRWA-Archive/items/jrhp_020.html
"Powerhouse at Jordan River 1920","","1920","Black and White photo of powerhouse","Hydroelectric","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1920powerhousejr_th.jpg","http://localhost:4000/JRWA-Archive/objects/1920powerhousejr.jpg",/JRWA-Archive/items/jrhp_021.html
"Camp 2 at Jordan River and Dam 1930&#39;s","","1930","Black and White photo of a camp adjacent to the dam","Forestry; Settlement; Dam; Settlement","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1930sjordanriveranddam_th.jpg","http://localhost:4000/JRWA-Archive/objects/1930sjordanriveranddam.jpg",/JRWA-Archive/items/jrhp_022.html
"Jordan River Miner in the 1920s","","1920","Black and White photo of a miner","Mining","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1920jrsunlockmines_th.jpg","http://localhost:4000/JRWA-Archive/objects/1920jrsunlockmines.jpg",/JRWA-Archive/items/jrhp_023.html
"Jordan River Community Hall 1945-48","","1940","Black and White photo of the community hall","Settlement","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1945_48jrcommunityhall_th.jpg","http://localhost:4000/JRWA-Archive/objects/1945_48jrcommunityhall.jpg",/JRWA-Archive/items/jrhp_024.html
"Jordan River Powerhouse 1926","","1926","Black and White photo of powerhouse","Hydroelectric","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1926jrpowerhouse_th.jpg","http://localhost:4000/JRWA-Archive/objects/1926jrpowerhouse.jpg",/JRWA-Archive/items/jrhp_025.html
"Clearing where powerhouse was built","","1908","Black and White photo of cleared field adjacent to dam","Hydroelectric ","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/clearingwherepowerhousewasbuiltjordanriver1908_th.jpg","http://localhost:4000/JRWA-Archive/objects/clearingwherepowerhousewasbuiltjordanriver1908.jpg",/JRWA-Archive/items/jrhp_026.html
"View of the Jordan River 1904","","1904","","","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1904viewjr_th.jpg","http://localhost:4000/JRWA-Archive/objects/1904viewjr.jpg",/JRWA-Archive/items/jrhp_026.5.html
"Telegraph Hut","","","Black and White photo the Jordan River","","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/telegraphhutjr_th.jpg","http://localhost:4000/JRWA-Archive/objects/telegraphhutjr.jpg",/JRWA-Archive/items/jrhp_027.html
"Man Drilling a Rock ","","1917","Black and White photo the Jordan River Homes","Mining","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1919mandrillingrock_th.jpg","http://localhost:4000/JRWA-Archive/objects/1919mandrillingrock.png",/JRWA-Archive/items/jrhp_028.html
"Homes of the Jordan River 1920&#39;s ","","1920","Black and White photo of a man drilling a rock","Settlement","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/homesatjr_th.jpg","http://localhost:4000/JRWA-Archive/objects/homesatjr.jpg",/JRWA-Archive/items/jrhp_029.html
"River Mouth 1911","","1911","Black and White photo the Jordan River","","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1911rivermouth_th.jpg","http://localhost:4000/JRWA-Archive/objects/1911rivermouth.jpg",/JRWA-Archive/items/jrhp_030.html
"Dock and Straights 1900-1910","","1900","Screenshot of the University of British Columbia ","Settlement","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1900_1910jrdock_th.jpg","http://localhost:4000/JRWA-Archive/objects/1900_1910jrdock.pdf",/JRWA-Archive/items/jrhp_031.html
"Ethnobotany of the
Nitinaht Indians of Vancouver Island","","1983","","Ethnobotany; Plants; Indigenous; First Nations; Biology","","","","","","Book","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1983ethnobotany_nancyturner_th.jpg","http://localhost:4000/JRWA-Archive/objects/1983ethnobotany_nancyturner.pdf",/JRWA-Archive/items/jrhfn_001.html
"Water Dialogue Series: Canada Water Agency What We Heard Report","BC Assembly of First Nations","2022-07-01","","Advocacy; Canada Water Agency; First Nations","","","","","","Report","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/2022canadawateragencyvirtualdialogue_th.jpg","http://localhost:4000/JRWA-Archive/objects/2022canadawateragencyvirtualdialogue.pdf",/JRWA-Archive/items/jrhfn_002.html
"B.C. First Nations plan to appeal ruling to
restore natural river flows 70 years later","CTV News Vancouver","2022-02-04","","Legal Case; River Diversion; First Nations; Advocacy; Salmon","","","","","","News Article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/2022bc_firstnationstoappealnechakorivercourtruling_th.jpg","http://localhost:4000/JRWA-Archive/objects/2022bc_firstnationstoappealnechakorivercourtruling.pdf",/JRWA-Archive/items/jrhfn_003.html
"Ditidaht &amp; Pacheedaht Agreement in Principle - Treaty","","2019-06-28","","First Nations; Treaty","","","","","","Treaty Document","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/ditidahtandpacheedaht2019treatyagreementinprinciple_th.jpg","http://localhost:4000/JRWA-Archive/objects/ditidahtandpacheedaht2019treatyagreementinprinciple.pdf",/JRWA-Archive/items/jrhfn_004.html
"Case for a Guardian Network Initiative ","BC First Nations Energy and Mining Council and UVic Environmental Centre","2020-07-01","","First Nations; Guardian Programs; Conservation","","","","","","Advocacy Report","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/2020caseforaguardiannetwork_th.jpg","http://localhost:4000/JRWA-Archive/objects/2020caseforaguardiannetwork.pdf",/JRWA-Archive/items/jrhfn_005.html
"Step into the River: A Framework for Economic Reconciliation","Sxwpilemaát Siyám and Lily Raphael","2022","","First Nations; Justice","","","","","","Advocacy Report","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/siyam2022facultyofenvironmentstepintotheriveraframeworkforeconomicreconciliation_th.jpg","http://localhost:4000/JRWA-Archive/objects/siyam2022facultyofenvironmentstepintotheriveraframeworkforeconomicreconciliation.pdf",/JRWA-Archive/items/jrhfn_006.html
"Jordan River Historical Salmond Survey ","RRL Recreation Resources Limited ","2001-1","Survey of public anecdotal knowledge knowledge of salmon conditions pre- 1971","Salmon; BC Hydro","","","","","","Public Survey ","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/2001jordanriverhistoricalsalmonidsurvey_th.jpg","http://localhost:4000/JRWA-Archive/objects/2001jordanriverhistoricalsalmonidsurvey.pdf",/JRWA-Archive/items/jrhfn_007.html
"Review of the Ethnographic and Historical Resources: T&#39;Sou-ke and Pacheedaht First Nations","Ministry of Attorney General Legal Services Branch ","2008-10-20","","First Nations; Land Use; Sooke; Pacheedaht ","","","","","","Research","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/reviewoffirstnationresources_th.jpg","http://localhost:4000/JRWA-Archive/objects/reviewoffirstnationresources.pdf",/JRWA-Archive/items/jrhfn_008.html
