subject,count,link
"mining",289,"http://localhost:4000/JRWA-Archive/browse.html#mining"
"hydroelectric",177,"http://localhost:4000/JRWA-Archive/browse.html#hydroelectric"
"mining reports",63,"http://localhost:4000/JRWA-Archive/browse.html#mining%20reports"
"cowichan",58,"http://localhost:4000/JRWA-Archive/browse.html#cowichan"
"settlement",45,"http://localhost:4000/JRWA-Archive/browse.html#settlement"
"sunro maps",43,"http://localhost:4000/JRWA-Archive/browse.html#sunro%20maps"
"salmon",42,"http://localhost:4000/JRWA-Archive/browse.html#salmon"
"bc hydro",33,"http://localhost:4000/JRWA-Archive/browse.html#bc%20hydro"
"b.c. hydro",32,"http://localhost:4000/JRWA-Archive/browse.html#b.c.%20hydro"
"logging",30,"http://localhost:4000/JRWA-Archive/browse.html#logging"
"copper",28,"http://localhost:4000/JRWA-Archive/browse.html#copper"
"water use plan",26,"http://localhost:4000/JRWA-Archive/browse.html#water%20use%20plan"
"sunro",24,"http://localhost:4000/JRWA-Archive/browse.html#sunro"
"fishing",23,"http://localhost:4000/JRWA-Archive/browse.html#fishing"
"pollution",22,"http://localhost:4000/JRWA-Archive/browse.html#pollution"
"mine collapse",18,"http://localhost:4000/JRWA-Archive/browse.html#mine%20collapse"
"ecology",18,"http://localhost:4000/JRWA-Archive/browse.html#ecology"
"first nations",17,"http://localhost:4000/JRWA-Archive/browse.html#first%20nations"
"labor",15,"http://localhost:4000/JRWA-Archive/browse.html#labor"
"b.c.e.r",13,"http://localhost:4000/JRWA-Archive/browse.html#b.c.e.r"
"mill",13,"http://localhost:4000/JRWA-Archive/browse.html#mill"
"habitat",12,"http://localhost:4000/JRWA-Archive/browse.html#habitat"
"contamination",12,"http://localhost:4000/JRWA-Archive/browse.html#contamination"
"geology",12,"http://localhost:4000/JRWA-Archive/browse.html#geology"
"map",11,"http://localhost:4000/JRWA-Archive/browse.html#map"
"traps",11,"http://localhost:4000/JRWA-Archive/browse.html#traps"
"new sunro maps",11,"http://localhost:4000/JRWA-Archive/browse.html#new%20sunro%20maps"
"digital maps",11,"http://localhost:4000/JRWA-Archive/browse.html#digital%20maps"
"gis",11,"http://localhost:4000/JRWA-Archive/browse.html#gis"
"power house",11,"http://localhost:4000/JRWA-Archive/browse.html#power%20house"
"forestry",11,"http://localhost:4000/JRWA-Archive/browse.html#forestry"
"mineral claim",10,"http://localhost:4000/JRWA-Archive/browse.html#mineral%20claim"
"land grant",10,"http://localhost:4000/JRWA-Archive/browse.html#land%20grant"
"puntledge river",10,"http://localhost:4000/JRWA-Archive/browse.html#puntledge%20river"
"water use program",10,"http://localhost:4000/JRWA-Archive/browse.html#water%20use%20program"
"historic maps",10,"http://localhost:4000/JRWA-Archive/browse.html#historic%20maps"
"historical photos",9,"http://localhost:4000/JRWA-Archive/browse.html#historical%20photos"
"tailings",9,"http://localhost:4000/JRWA-Archive/browse.html#tailings"
"pollution control",9,"http://localhost:4000/JRWA-Archive/browse.html#pollution%20control"
"sunloch",8,"http://localhost:4000/JRWA-Archive/browse.html#sunloch"
"gabbro",8,"http://localhost:4000/JRWA-Archive/browse.html#gabbro"
"2:4-d",8,"http://localhost:4000/JRWA-Archive/browse.html#2:4-d"
"mine closure",8,"http://localhost:4000/JRWA-Archive/browse.html#mine%20closure"
"mine reopening",8,"http://localhost:4000/JRWA-Archive/browse.html#mine%20reopening"
"recreation",8,"http://localhost:4000/JRWA-Archive/browse.html#recreation"
"spawning",7,"http://localhost:4000/JRWA-Archive/browse.html#spawning"
"mine repair",7,"http://localhost:4000/JRWA-Archive/browse.html#mine%20repair"
"surfing",7,"http://localhost:4000/JRWA-Archive/browse.html#surfing"
"hydro pesticide",7,"http://localhost:4000/JRWA-Archive/browse.html#hydro%20pesticide"
"zip file",7,"http://localhost:4000/JRWA-Archive/browse.html#zip%20file"
"gravel",7,"http://localhost:4000/JRWA-Archive/browse.html#gravel"
"dumping",6,"http://localhost:4000/JRWA-Archive/browse.html#dumping"
"herbicides",6,"http://localhost:4000/JRWA-Archive/browse.html#herbicides"
"protest",6,"http://localhost:4000/JRWA-Archive/browse.html#protest"
"george winkler",6,"http://localhost:4000/JRWA-Archive/browse.html#george%20winkler"
"report",6,"http://localhost:4000/JRWA-Archive/browse.html#report"
"indigenous fishing practices",6,"http://localhost:4000/JRWA-Archive/browse.html#indigenous%20fishing%20practices"
"conservation",6,"http://localhost:4000/JRWA-Archive/browse.html#conservation"
"water",6,"http://localhost:4000/JRWA-Archive/browse.html#water"
"sunloch mines ltd.",6,"http://localhost:4000/JRWA-Archive/browse.html#sunloch%20mines%20ltd."
"dison development ltd.",6,"http://localhost:4000/JRWA-Archive/browse.html#dison%20development%20ltd."
